Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
High-technology exports (current US$),TX.VAL.TECH.CD,Dominica,DMA,..,..,..,1949279,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Dominican Republic,DOM,..,..,97407060,145436381,197793261,223054401,206620652,230969486,432904183,383916253,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Ecuador,ECU,..,..,59881533,55266062,78998915,81594903,103054633,111063506,94376522,68401030,68045527,..
High-technology exports (current US$),TX.VAL.TECH.CD,"Egypt, Arab Rep.",EGY,..,..,133427057,78780353,72676207,168393197,89647033,56095793,73845751,125216606,323853847,..
High-technology exports (current US$),TX.VAL.TECH.CD,El Salvador,SLV,..,..,238653934,225446747,227689954,226153,209056904,223937030,251219313,277848583,230626406,..
High-technology exports (current US$),TX.VAL.TECH.CD,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Estonia,EST,..,..,2547547548,2356422334,2546304376,2708974360,2053273080,2106427460,1844023020,1594977,2155923,..
High-technology exports (current US$),TX.VAL.TECH.CD,Eswatini,SWZ,..,..,1354477,694569,1155806,1058006,2766946,2243950,3620867,11432106,3567980,..
High-technology exports (current US$),TX.VAL.TECH.CD,Ethiopia,ETH,..,..,5918209,10076462,6129188,24227832,19591672,10858328,67035013,44251058,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Fiji,FJI,..,..,5386999,2769706,2715493,3352286,2259048,3238852,4089668,4778477,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Finland,FIN,..,..,6422505575,5473606478,4694300378,5102703824,4250977309,3966656486,4405114576,4515414673,4563213733,..
High-technology exports (current US$),TX.VAL.TECH.CD,France,FRA,..,..,112914418716,114947402194,119314806417,121375781336,110206317007,109316534720,109359053829,117814412441,120896951796,..
High-technology exports (current US$),TX.VAL.TECH.CD,French Polynesia,PYF,..,..,20506495,2388577,8801278,20726119,11000066,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
High-technology exports (current US$),TX.VAL.TECH.CD,"Gambia, The",GMB,..,..,22564,12712,24497,..,..,..,2090,6065,..,..
