Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Afghanistan,AFG,21.177,22.078,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Albania,ALB,36.428,41.741,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Algeria,DZA,52.085,59.919,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,American Samoa,ASM,80.948,88.587,87.502,87.42,87.348,87.288,87.238,87.198,87.17,87.153,87.147,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Andorra,AND,94.712,92.395,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Angola,AGO,37.144,50.087,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Antigua and Barbuda,ATG,35.426,32.127,25.703,25.526,25.35,25.175,25,24.846,24.713,24.599,24.506,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Argentina,ARG,86.984,89.142,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Armenia,ARM,67.421,64.666,63.34,63.24,63.164,63.112,63.085,63.082,63.103,63.149,63.219,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Aruba,ABW,50.319,46.717,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Australia,AUS,85.433,84.235,85.3,85.402,85.502,85.602,85.701,85.8,85.904,86.012,86.124,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Austria,AUT,62.96,60.213,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,58.515,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Azerbaijan,AZE,53.749,51.386,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,56.031,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Bahamas, The",BHS,79.838,82.007,82.476,82.532,82.596,82.668,82.746,82.832,82.925,83.025,83.132,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bahrain,BHR,88.14,88.372,88.695,88.762,88.835,88.915,88.999,89.09,89.186,89.287,89.394,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,19.811,23.59,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Barbados,BRB,37.37,33.827,31.7,31.553,31.429,31.328,31.249,31.193,31.159,31.147,31.158,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belarus,BLR,65.981,69.973,75.188,75.697,76.199,76.693,77.181,77.661,78.134,78.595,79.044,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belgium,BEL,96.377,97.129,97.698,97.744,97.789,97.833,97.876,97.919,97.961,98.001,98.041,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belize,BLZ,47.465,45.398,45.228,45.246,45.282,45.335,45.406,45.495,45.601,45.724,45.866,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Benin,BEN,34.485,38.333,43.608,44.125,44.642,45.166,45.695,46.229,46.768,47.312,47.861,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bhutan,BTN,16.388,25.418,35.585,36.371,37.149,37.918,38.678,39.428,40.167,40.895,41.612,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bolivia,BOL,55.577,61.787,66.874,67.315,67.699,68.047,68.393,68.738,69.08,69.425,69.773,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bosnia and Herzegovina,BIH,39.249,42.384,45.878,46.199,46.519,46.84,47.173,47.518,47.876,48.245,48.626,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Botswana,BWA,41.933,53.219,63.865,64.768,65.572,66.368,67.155,67.933,68.7,69.446,70.172,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brazil,BRA,73.922,81.192,84.631,84.923,85.209,85.492,85.77,86.042,86.309,86.569,86.824,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,British Virgin Islands,VGB,37.814,41.774,45.154,45.502,45.856,46.216,46.583,46.957,47.337,47.723,48.116,..
